Fecha,Hoja,Rango,Valor anterior,Nuevo valor,Usuario
19-abr-24 12:55 p.m.,SBL-LM-08,C569:I569,,,validacion5@sblpharma.com
19-abr-24 12:55 p.m.,Certificados,A565:S1065,,,validacion5@sblpharma.com
19-abr-24 12:55 p.m.,SBL-LM-08,A569:I569,,,validacion5@sblpharma.com
19-abr-24 12:55 p.m.,SBL-LM-08,A568:I569,,,validacion5@sblpharma.com
19-abr-24 12:55 p.m.,SBL-LM-08,A569:I569,,,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,A569,,Viscosimetro,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,B569,,Fungilab,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,C569,,SMART series,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,D569,,V210002,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,E569,,Vis-DA-01,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,E569,Vis-DA-01,Vis-DA-02,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,E569,Vis-DA-02,VIS-DA-02,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,F569,,Control de calidad,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,G569,,Móvil,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,H569,,19-abr-24,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,I569,,NA,validacion5@sblpharma.com
19-abr-24 12:56 p.m.,SBL-LM-08,A569:I569,,,validacion5@sblpharma.com
19-abr-24 12:57 p.m.,SBL-LM-08,E569,VIS-DA-02,VIS-LC-02,validacion5@sblpharma.com
19-abr-24 1:07 p.m.,Calibración/Verificación,A564:R564,,,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,A564:C564,,,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,A564:C564,,,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,H564,,Calibración,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,I564,,02-ene-00,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,J564,,31-dic-99,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,L564,,01-ene-00,validacion5@sblpharma.com
19-abr-24 1:08 p.m.,Calibración/Verificación,Q564,,Externa,validacion5@sblpharma.com
19-abr-24 1:09 p.m.,Calibración/Verificación,R564,,Los que el proveedor maneje,validacion5@sblpharma.com
19-abr-24 1:09 p.m.,Certificados,A564:AD564,,,validacion5@sblpharma.com
19-abr-24 1:11 p.m.,Certificados,AB564,,19-abr-24,validacion5@sblpharma.com
19-abr-24 1:13 p.m.,Certificados,AB564,,,validacion5@sblpharma.com
19-abr-24 1:13 p.m.,Certificados,AB564,,,validacion5@sblpharma.com
19-abr-24 1:14 p.m.,Certificados,AB564,,,validacion5@sblpharma.com
19-abr-24 1:14 p.m.,Certificados,AB564,19-abr-24,19-abr-24,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,H564,Calibración,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,J564,31-dic-99,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,I564,02-ene-00,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,K564,NA,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,L564,01-ene-00,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,N564,19-abr-24,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,N564,19-abr-24,,validacion5@sblpharma.com
19-abr-24 1:23 p.m.,Calibración/Verificación,N564,19-abr-24,,validacion5@sblpharma.com
19-abr-24 1:24 p.m.,Certificados,AB564,19-abr-24,,validacion5@sblpharma.com
19-abr-24 1:24 p.m.,Calibración/Verificación,R564,Los que el proveedor maneje,,validacion5@sblpharma.com
19-abr-24 1:24 p.m.,Calibración/Verificación,Q564,Externa,,validacion5@sblpharma.com
19-abr-24 1:26 p.m.,SBL-LM-08,A568:I568,,,validacion6@sblpharma.com
29-abr-24 1:41 p.m.,SBL-LM-08,C568:I568,,,validacion5@sblpharma.com
29-abr-24 1:41 p.m.,SBL-LM-08,A568,,Vernier,validacion5@sblpharma.com
29-abr-24 1:41 p.m.,SBL-LM-08,B568,,Mitutoyo,validacion5@sblpharma.com
29-abr-24 1:42 p.m.,SBL-LM-08,C568,,"CD-8""ASX",validacion5@sblpharma.com
29-abr-24 1:42 p.m.,SBL-LM-08,D568,,A21151470,validacion5@sblpharma.com
29-abr-24 1:43 p.m.,SBL-LM-08,E568,,VER-MA-01,validacion5@sblpharma.com
29-abr-24 1:43 p.m.,SBL-LM-08,F568,,Mantenimiento,validacion5@sblpharma.com
29-abr-24 1:43 p.m.,SBL-LM-08,G568,,Mantenimiento,validacion5@sblpharma.com
29-abr-24 1:43 p.m.,SBL-LM-08,H568,,26-abr-24,validacion5@sblpharma.com
29-abr-24 1:43 p.m.,SBL-LM-08,I568,,NA,validacion5@sblpharma.com
29-abr-24 1:44 p.m.,Calibración/Verificación,H563:R563,,,validacion5@sblpharma.com
29-abr-24 1:44 p.m.,Certificados,A566:S1066,,,validacion5@sblpharma.com
29-abr-24 1:44 p.m.,Calibración/Verificación,H563,,Calibración,validacion5@sblpharma.com
29-abr-24 1:44 p.m.,Calibración/Verificación,I563,,01-ene-00,validacion5@sblpharma.com
29-abr-24 1:44 p.m.,Calibración/Verificación,J563,,01-ene-00,validacion5@sblpharma.com
29-abr-24 1:45 p.m.,Calibración/Verificación,L563,,01-ene-00,validacion5@sblpharma.com
29-abr-24 1:45 p.m.,Calibración/Verificación,N563,02-ago-23,NA,validacion5@sblpharma.com
29-abr-24 1:45 p.m.,Calibración/Verificación,O563,"ErrorValue{type=VALUE, messageId=WRONG_DATA_TYPE, arguments=[str:EDATE, doub:1.0, str:NA, err:ErrorValue{type=MESSAGE, messageId=DATA_TYPE_STRING, arguments=[]}, err:ErrorValue{type=MESSAGE, messageId=DATA_TYPE_DOUBLE, arguments=[]}]}",24-may-24,validacion5@sblpharma.com
29-abr-24 1:46 p.m.,Calibración/Verificación,Q563,,Externa,validacion5@sblpharma.com
