instrumento_codigo,empresa_id,tipo,fecha_calibracion,periodo,periodo_label,periodo_year,fecha_proxima,requerimiento,frecuencia_meses,observaciones
AMP-MA-01,1,Calibración programada,2018-03-08,P1,Periodo 1,2018,,,,Periodo 1 2018. Fuente: CERT_instrumentos_original.csv
AMP-MA-01,1,Calibración programada,2019-06-07,P1,Periodo 1,2019,,,,Periodo 1 2019. Fuente: CERT_instrumentos_original.csv
AMP-MA-01,1,Calibración programada,2021-12-07,P1,Periodo 1,2021,,,,Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
AMP-MA-02,1,Calibración,2022-08-19,P1,Periodo 1,2022,2023-08-19,Calibración,12,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
AMP-MA-02,1,Calibración,2023-08-02,P1,Periodo 1,2023,2024-08-02,Calibración,12,Requerimiento: Calibración. Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
ANE-VA-01,1,Calibración,2018-03-12,P1,Periodo 1,2018,2019-09-12,Calibración,18,Requerimiento: Calibración. Periodo 1 2018. Fuente: CERT_instrumentos_original.csv
ANE-VA-01,1,Calibración,2021-01-11,P1,Periodo 1,2021,2022-07-11,Calibración,18,Requerimiento: Calibración. Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
ANE-VA-01,1,Calibración,2022-07-06,P1,Periodo 1,2022,2024-01-06,Calibración,18,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
ANE-VA-01,1,Calibración,2024-01-08,P1,Periodo 1,2024,2025-07-08,Calibración,18,Requerimiento: Calibración. Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
ANE-VA-02,1,Calibración,2018-03-12,P1,Periodo 1,2018,2019-09-12,Calibración,18,Requerimiento: Calibración. Periodo 1 2018. Fuente: CERT_instrumentos_original.csv
ANE-VA-02,1,Calibración,2021-01-11,P1,Periodo 1,2021,2022-07-11,Calibración,18,Requerimiento: Calibración. Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
ANE-VA-02,1,Calibración,2022-07-06,P1,Periodo 1,2022,2024-01-06,Calibración,18,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
ANE-VA-02,1,Calibración,2024-01-08,P1,Periodo 1,2024,2025-07-08,Calibración,18,Requerimiento: Calibración. Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
BAA-CP-01,1,Calibración programada,2018-03-12,P1,Periodo 1,2018,,,,Periodo 1 2018. Fuente: CERT_instrumentos_original.csv
BAA-CP-01,1,Calibración programada,2019-02-21,P1,Periodo 1,2019,,,,Periodo 1 2019. Fuente: CERT_instrumentos_original.csv
BAA-CP-01,1,Calibración programada,2021-01-15,P1,Periodo 1,2021,,,,Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2019-02-21,P1,Periodo 1,2019,2019-08-21,Calibración,6,Requerimiento: Calibración. Periodo 1 2019. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2020-02-19,P1,Periodo 1,2020,2020-08-19,Calibración,6,Requerimiento: Calibración. Periodo 1 2020. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2021-01-15,P1,Periodo 1,2021,2021-07-15,Calibración,6,Requerimiento: Calibración. Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2022-01-10,P1,Periodo 1,2022,2022-07-10,Calibración,6,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2023-06-02,P1,Periodo 1,2023,2023-12-02,Calibración,6,Requerimiento: Calibración. Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2024-06-04,P1,Periodo 1,2024,2024-12-04,Calibración,6,Requerimiento: Calibración. Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
BAA-CP-02,1,Calibración,2025-06-03,P1,Periodo 1,2025,2025-12-03,Calibración,6,Requerimiento: Calibración. Periodo 1 2025. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2019-06-11,P1,Periodo 1,2019,,,,Periodo 1 2019. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2020-01-17,P1,Periodo 1,2020,,,,Periodo 1 2020. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2021-01-15,P1,Periodo 1,2021,,,,Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2022-01-10,P1,Periodo 1,2022,,,,Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2023-06-02,P1,Periodo 1,2023,,,,Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
BAA-CP-03,1,Calibración programada,2024-06-04,P1,Periodo 1,2024,,,,Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
BAA-CP-04,1,Calibración,2022-04-04,P1,Periodo 1,2022,2022-10-04,Calibración,6,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
BAA-CP-04,1,Calibración,2023-04-03,P1,Periodo 1,2023,2023-10-03,Calibración,6,Requerimiento: Calibración. Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
BAA-CP-04,1,Calibración,2024-04-01,P1,Periodo 1,2024,2024-10-01,Calibración,6,Requerimiento: Calibración. Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
BAA-CP-04,1,Calibración,2025-04-01,P1,Periodo 1,2025,2025-10-01,Calibración,6,Requerimiento: Calibración. Periodo 1 2025. Fuente: CERT_instrumentos_original.csv
BAA-CP-05,1,Calibración,2025-02-04,P1,Periodo 1,2025,2025-08-04,Calibración,6,Requerimiento: Calibración. Periodo 1 2025. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2020-01-07,P1,Periodo 1,2020,2020-07-07,Calibración,6,Requerimiento: Calibración. Periodo 1 2020. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2021-01-05,P1,Periodo 1,2021,2021-07-05,Calibración,6,Requerimiento: Calibración. Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2022-05-03,P1,Periodo 1,2022,2022-11-03,Calibración,6,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2023-05-02,P1,Periodo 1,2023,2023-11-02,Calibración,6,Requerimiento: Calibración. Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2024-05-02,P1,Periodo 1,2024,2024-11-02,Calibración,6,Requerimiento: Calibración. Periodo 1 2024. Fuente: CERT_instrumentos_original.csv
BAA-DA-01,1,Calibración,2025-05-02,P1,Periodo 1,2025,2025-11-02,Calibración,6,Requerimiento: Calibración. Periodo 1 2025. Fuente: CERT_instrumentos_original.csv
BAA-DA-02,1,Calibración,2020-01-07,P1,Periodo 1,2020,2020-07-07,Calibración,6,Requerimiento: Calibración. Periodo 1 2020. Fuente: CERT_instrumentos_original.csv
BAA-DA-02,1,Calibración,2021-01-05,P1,Periodo 1,2021,2021-07-05,Calibración,6,Requerimiento: Calibración. Periodo 1 2021. Fuente: CERT_instrumentos_original.csv
BAA-DA-02,1,Calibración,2022-05-03,P1,Periodo 1,2022,2022-11-03,Calibración,6,Requerimiento: Calibración. Periodo 1 2022. Fuente: CERT_instrumentos_original.csv
BAA-DA-02,1,Calibración,2023-05-02,P1,Periodo 1,2023,2023-11-02,Calibración,6,Requerimiento: Calibración. Periodo 1 2023. Fuente: CERT_instrumentos_original.csv
