instrumento_codigo,empresa_id,requerimiento,impacto_falla,consideraciones_falla,clase_riesgo,capacidad_deteccion,frecuencia,fecha_actualizacion,observaciones,tipo_calibracion,especificaciones
AER-VA-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-DA-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-DF-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-LC-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-LC-02,1,NA,NA,NA,NA,NA,NA,,Baja: 14-Abr-22. No se ha añadido su primer certificado,NA,
AGM-LC-03,1,NA,NA,NA,NA,NA,NA,,Baja: 08-Abr-19. No se ha añadido su primer certificado,NA,
AGM-LC-04,1,NA,NA,NA,NA,NA,NA,,Baja: 08-Abr-19. No se ha añadido su primer certificado,NA,
AGM-LC-05,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-LC-06,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-LC-07,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGM-LC-08,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGP-FR-02,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGP-PR-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGV-LC-01,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGV-LC-02,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AGV-LC-03,1,NA,NA,NA,NA,NA,NA,,No se ha añadido su primer certificado,NA,
AMP-MA-01,1,NA,NA,NA,NA,NA,NA,,Baja: 26-Ago-23. No se ha añadido su primer certificado,NA,
AMP-MA-02,1,Calibración,2,3,Alto,1,12,2026-08-01,,Externa,"DC Voltage 0.00 V Tol ± 0.50V, 10.0 V Tol.  ±0.6V, 100.0 V Tol ±1.5V, 600.0 V Tol ±6.5V
AC Voltage @ 60 Hz 0.00 V Tol ± 0.50, 10.0 V Tol ± 0.7V, 100.0 V Tol ±2.0V, 600.0 V Tol ±9.5V / 
Resistance 0.0 Ω Tol ± 0.5Ω, 100.0 Ω Tol ±1.5Ω, 400.0 Ω Tol ±4.5Ω, 1000 Ω Tol ±15Ω, 4000 Ω Tol ±45Ω / 
DC current 0.00A ± 0.05A, 10.00 A Tol ±0.25A, 40.00 A Tol ±0.85A, 100.0 A Tol ±2.5A, 400.0 A Tol ±8.5A /
AC current @60 Hz 10.00A Tol±0.25A, 40.00A Tol±0.85A, 100.0A Tol±2.5A, 400.0A Tol ±8.5A.  
Temperatua de 15°C a 70°C (tolerancia asignada por el proveedor), Capacitancia de 50 a 500 microfararios (tolerancia establecida por el proveedor)."
ANE-VA-01,1,Calibración,2,1,Bajo,2,18,2027-01-01,,Externa,"Velocidad del aire: 0.500 m/s ± 20% 1.000 m/s, 5.000 m/s, 10.000 m/s, 20.000 m/s, 30.000 m/s Tol. ±0.298 m/s Temperatura: 25°C Tol ±0.80°C"
ANE-VA-02,1,Calibración,2,1,Bajo,2,18,2027-01-01,,Externa,"Velocidad del aire: 0.000 m/s Tol ±0.002 m/s, 5.000 m/s Tol. ±0.100 m/s, 10.000 m/s Tol. ±0.200 m/s, 20.000 m/s Tol. ±0.400 m/s, 30.000 m/s Tol ±0.600 m/s Temperatura: 25°C Tol ±0.80°C"
BAA-AL-01,1,Calibración,3,3,Alto,2,6,,No se ha añadido su primer certificado,En planta,"0.000g, 0.020g, 0.050g, 0.100g, 0.500g, 1.000g, 5.000g, 10.000g, 50.000g, 100.000g, 200.000g, 300.000g, 420.000g ± 0.010g"
BAA-CP-01,1,NA,NA,NA,NA,NA,NA,,Baja: 24-Ago-21. No se ha añadido su primer certificado,NA,
