,,,,,,,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Frecuencia,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario,Periodo 1,Periodo 2,Extraordinario
Aerotest,Dräger,Alpha,ARLL-9115,AER-VA-01,Validación,"Móvil, Almacén de Validación",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,Corning,PC-410,350401334703,AGM-LC-01,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,Corning,PC-410,350401009669,AGM-LC-02,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,97042-626,181213005,AGM-LC-03,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,97042-626,180907006,AGM-LC-04,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,97042-626,181213005,AGM-LC-05,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,97042-626,180907006,AGM-LC-06,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,986920,181221010,AGM-LC-07,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,VWR,986920,181221011,AGM-LC-08,Control de Calidad,Disolución,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,Corning,PC-410,350401334757,AGM-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador magnético,Corning,PC-410D,1534 21027189,AGM-DA-01,Desarrollo Analítico,Análisis Fisicoquímicos ,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador propela,Heidolph,RZR2020,40810741,AGP-PR-01,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador propela,ND,ND,ND,AGP-FR-02,Fabricación,"Recubrimiento, en REC-FR-02",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador Vortex,Thomas Scientific,Digital Genie2 120V,A3-2746,VOR-DA-01,Desarrollo Analítico,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
