Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Impacto de la falla,Consideraciones de falla,Clase de riesgo,Capacidad de detección ,Frecuencia,Última calibración,Fecha programada,Observaciones,Tipo de calibración,Especificaciones
Aerotest,Dräger,Alpha,ARLL-9115,AER-VA-01,Validación,"Móvil, Almacén de Validación",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,Corning,PC-410,350401334703,AGM-LC-01,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,Corning,PC-410,350401009669,AGM-LC-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baja: 14-Abr-22,NA,NA
Agitador magnético,VWR,97042-626,181213005,AGM-LC-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baja: 08-Abr-19,NA,NA
Agitador magnético,VWR,97042-626,180907006,AGM-LC-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baja: 08-Abr-19,NA,NA
Agitador magnético,VWR,97042-626,181213005,AGM-LC-05,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,VWR,97042-626,180907006,AGM-LC-06,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,VWR,986920,181221010,AGM-LC-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,VWR,986920,181221011,AGM-LC-08,Control de Calidad,Disolución,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,Corning,PC-410,350401334757,AGM-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador magnético,Corning,PC-410D,1534 21027189,AGM-DA-01,Desarrollo Analítico,Análisis Fisicoquímicos ,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador propela,Heidolph,RZR2020,40810741,AGP-PR-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador propela,ND,ND,ND,AGP-FR-02,Fabricación,"Recubrimiento, en REC-FR-02",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador Vortex,Thomas Scientific,Digital Genie2 120V,A3-2746,VOR-DA-01,Desarrollo Analítico,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador Vortex,Corning,LSE,000020226027,AGV-LC-01,Microbiología,Microbiología,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador Vortex,Corning,LSE,000020226028,AGV-LC-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Agitador Vortex,Scientific Industries,Digital Vortex-Genie 2,A3-5600,AGV-LC-03,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Amperímetro,Fluke,323,25900289,AMP-MA-01,NA,NA,NA,NA,NA,NA,NA,NA,07-dic-21,NA,Baja: 26-Ago-23,NA,NA
Amperímetro,Fluke,325,47367667MV,AMP-MA-02,Mantenimiento,"Móvil, Taller de Mantenimiento",Calibración,2,3,Alto,1,12,01-ago-25,Ago-26,,Externa,"DC Voltage 0.00 V Tol ± 0.50V, 10.0 V Tol.  ±0.6V, 100.0 V Tol ±1.5V, 600.0 V Tol ±6.5V
AC Voltage @ 60 Hz 0.00 V Tol ± 0.50, 10.0 V Tol ± 0.7V, 100.0 V Tol ±2.0V, 600.0 V Tol ±9.5V / 
Resistance 0.0 Ω Tol ± 0.5Ω, 100.0 Ω Tol ±1.5Ω, 400.0 Ω Tol ±4.5Ω, 1000 Ω Tol ±15Ω, 4000 Ω Tol ±45Ω / 
DC current 0.00A ± 0.05A, 10.00 A Tol ±0.25A, 40.00 A Tol ±0.85A, 100.0 A Tol ±2.5A, 400.0 A Tol ±8.5A /
AC current @60 Hz 10.00A Tol±0.25A, 40.00A Tol±0.85A, 100.0A Tol±2.5A, 400.0A Tol ±8.5A.  
Temperatua de 15°C a 70°C (tolerancia asignada por el proveedor), Capacitancia de 50 a 500 microfararios (tolerancia establecida por el proveedor)."
Anemómetro,VWR,Traceable Hot Wire,80114311,ANE-VA-01,Validación ,"Móvil, Almacén de Validación",Calibración,2,1,Bajo,2,18,01-jul-25,Ene-27,,Externa,"Velocidad del aire: 0.500 m/s ± 20% 1.000 m/s, 5.000 m/s, 10.000 m/s, 20.000 m/s, 30.000 m/s Tol. ±0.298 m/s Temperatura: 25°C Tol ±0.80°C"
Anemómetro,Extech Instrument,Field Master,451112,ANE-VA-02,Validación ,"Móvil, Almacén de Validación",Calibración,2,1,Bajo,2,18,01-jul-25,Ene-27,,Externa,"Velocidad del aire: 0.000 m/s Tol ±0.002 m/s, 5.000 m/s Tol. ±0.100 m/s, 10.000 m/s Tol. ±0.200 m/s, 20.000 m/s Tol. ±0.400 m/s, 30.000 m/s Tol ±0.600 m/s Temperatura: 25°C Tol ±0.80°C"
Balanza analítica,CAS,XB420HW,D604100010,BAA-AL-01,Almacén,Pesado,Calibración,3,3,Alto,2,6,6,Jul-00,,En planta,"0.000g, 0.020g, 0.050g, 0.100g, 0.500g, 1.000g, 5.000g, 10.000g, 50.000g, 100.000g, 200.000g, 300.000g, 420.000g ± 0.010g"
Balanza analítica,Ohaus,Adventurer PRO,8026191114,BAA-CP-01,NA,NA,NA,NA,NA,NA,NA,NA,06-may-21,NA,Baja: 24-Ago-21,NA,NA
Balanza analítica,OHAUS,AX124,B824999566,BAA-CP-02,Gestión de la Calidad,Control en Proceso,Calibración,3,3,Alto,2,6,03-jun-25,Dic-25,,En planta,"0.0 mg, 1.0 mg, 50.0 mg, 75.0 mg Tol. ±0.2 mg, 1.0000 g, 5.000 g, 10.0000g, 50.0000 g, 100.0000 g, 120.0000 g Tol. ±0.0001 g"
Balanza analítica,Ohaus,PA224,B650434148,BAA-CP-03,NA,NA,NA,NA,NA,NA,2,NA,10-jun-24,NA,,NA,NA
Balanza analítica,OHAUS,PX224/E,C104035295,BAA-CP-04,Gestión de la Calidad,Muestreo de Materia Prima,Calibración,3,3,Alto,2,6,01-abr-25,Oct-25,,En planta,"1.0 mg, 50.0 mg, 75.0 mg Tol. ± 0.2 mg, 1.0000 g, 5.000 g, 10.0000g, 50.0000 g, 100.0000 g, 120.0000 g Tol. ± 0.0001 g"
Balanza analítica,OHAUS,PX224/E,C3025547933,BAA-CP-05,Gestión de la Calidad,Control en Proceso,Calibración,3,3,Alto,2,6,01-ago-25,Feb-26,,En planta,"1.0 mg, 50.0 mg, 75.0 mg, 1.0000 g, 5.0000 g, 10.0000 g, 50.0000 g, 100.0000 g, 150.0000 g, 200.0000 g, 220.0000 g Tol ± 0.0001 g"
