archivo,codigo_instrumento,fila,celda,campo,valor_original,valor_corregido,tipo_cambio,regla_id,descripcion_regla,confianza,impacto
AT_instrumentos_original_v2.csv,SBL-LM-08,7,E7,Nuevo valor,Viscosimetro,Viscosímetro,homologation,HOM001,Corrección ortográfica de nombres de instrumentos,0.95,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,122,E122,Nuevo valor,"-40°C, -30°C, -20°C, -10°C, 0.0°C, 8°C ± 1.0°C.
10%, 20%, 30%, 40%, 50%, 60%, 70%, 80%, 99% Tol 5.0","-40°C, -30°C, -20°C, -10°C, 0.0°C, 8°C ± 1.0°C. 10%, 20%, 30%, 40%, 50%, 60%, 70%, 80%, 99% Tol 5.0",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,123,E123,Nuevo valor,"-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0
15%, 30%, 60%, 80% Tol 6.0%.","-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0 15%, 30%, 60%, 80% Tol 6.0%.",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,124,E124,Nuevo valor,"-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0
15%, 30%, 60%, 80% Tol 6.0%.","-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0 15%, 30%, 60%, 80% Tol 6.0%.",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,279,E279,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,282,E282,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,283,E283,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,285,E285,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,287,E287,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,289,E289,Nuevo valor,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ","Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0%",format,FMT003,Limpieza de espacios en blanco,1.0,low
